receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
ACC9752058817,Lynn Jones,"Morgan, Bradley and Blanchard Bank",UAE,HIGH,3,False,2026-06-08 12:00:00
ACC3654424954,Michael Fernandez,"Brown, Jones and Smith Bank",United States,HIGH,0,False,2026-06-08 12:00:00
ACC1696846464,John Ball,Good-Park Bank,United States,HIGH,2,False,2026-06-08 12:00:00
ACC2879792991,Carolyn Sanchez,Mcdaniel-Mann Bank,United Kingdom,HIGH,3,False,2026-06-08 12:00:00
ACC4090596936,Kenneth Brooks,Payne PLC Bank,United Kingdom,HIGH,3,False,2026-06-08 12:00:00
ACC8661364201,Jason Davis,Evans-Jenkins Bank,Singapore,HIGH,2,False,2026-06-08 12:00:00
ACC4586784711,Laura Taylor,"Mitchell, Holmes and Clark Bank",UAE,HIGH,4,False,2026-06-08 12:00:00
ACC7187318744,Jennifer Burch,Oconnell-Hanna Bank,UAE,HIGH,0,False,2026-06-08 12:00:00
ACC3597009738,Mr. Jerry Moore,"Williamson, Cole and Moore Bank",UAE,HIGH,1,False,2026-06-08 12:00:00
ACC5012760260,Kristin Dodson,"Collins, Thornton and Camacho Bank",United States,HIGH,5,False,2026-06-08 12:00:00
ACC2224336336,Mark Williams,"Wade, Cabrera and Murray Bank",Singapore,HIGH,2,False,2026-06-08 12:00:00
ACC2878930355,Mrs. Emily Henry,Mooney-Price Bank,Singapore,HIGH,2,False,2026-06-08 12:00:00
ACC9094423237,Dean King,Cain and Sons Bank,India,HIGH,3,False,2026-06-08 12:00:00
ACC2606152369,Sydney Cobb,"Hood, Solomon and Scott Bank",United Kingdom,HIGH,2,False,2026-06-08 12:00:00
ACC2610237679,James Campbell,"Martinez, Skinner and White Bank",India,HIGH,2,False,2026-06-08 12:00:00
ACC1627276995,Stephanie Patel,Williams LLC Bank,India,HIGH,5,False,2026-06-08 12:00:00
ACC8858766173,Charlotte Harris,"Hill, Ritter and Gomez Bank",Singapore,HIGH,2,False,2026-06-08 12:00:00
ACC7309779967,Stephanie Pope,Nguyen Group Bank,United States,HIGH,3,True,2026-06-08 12:00:00
ACC1340272119,Steven Miller,"Noble, Nelson and Carney Bank",UAE,HIGH,1,False,2026-06-08 12:00:00
ACC2817865363,Joseph Lopez,Stevenson Inc Bank,UAE,HIGH,0,False,2026-06-08 12:00:00
ACC1523334661,Stacey Robbins,"Johnson, Fritz and Johns Bank",Singapore,HIGH,6,False,2026-06-08 12:00:00
ACC2963288053,Martha Wilson,"Franklin, Johnson and Gonzales Bank",India,HIGH,2,False,2026-06-08 12:00:00
ACC3302333490,Christine Wilson,Rich-Graham Bank,United States,HIGH,5,False,2026-06-08 12:00:00
ACC4086124402,Beth Howard,Ellis-Nelson Bank,UAE,HIGH,2,False,2026-06-08 12:00:00
ACC7935554354,Deanna Villanueva,"Sanchez, Cummings and Farrell Bank",Singapore,HIGH,2,False,2026-06-08 12:00:00
ACC3869961166,Seth Hickman,"Barnett, Wilson and Morrison Bank",United States,HIGH,8,False,2026-06-08 12:00:00
ACC3380064537,Mrs. Ana Jacobs,"Mccoy, Garcia and Owen Bank",United Kingdom,HIGH,0,False,2026-06-08 12:00:00
ACC9776913529,Benjamin Fowler,Martinez and Sons Bank,United Kingdom,HIGH,1,False,2026-06-08 12:00:00
ACC5364727160,John Vargas,"Peck, Martin and Mills Bank",India,HIGH,2,False,2026-06-08 12:00:00
ACC3698343112,Matthew Martinez,Reyes-Stewart Bank,United States,HIGH,1,False,2026-06-08 12:00:00
ACC2428156550,Ashley Mccoy,"Williamson, Mathews and Mendoza Bank",India,HIGH,2,False,2026-06-08 12:00:00
ACC3760786161,Jonathan Keller,Patrick Group Bank,United Kingdom,HIGH,2,False,2026-06-08 12:00:00
ACC1579187439,Doris Williams,Lynch-Gomez Bank,United Kingdom,HIGH,1,False,2026-06-08 12:00:00
ACC1865826728,Erica Eaton,Bell and Sons Bank,Singapore,HIGH,4,False,2026-06-08 12:00:00
ACC7328203808,Gina Roth,Simpson and Sons Bank,India,HIGH,4,False,2026-06-08 12:00:00
ACC6115750294,Brian Chapman,"Daniels, Hernandez and Jones Bank",UAE,HIGH,7,False,2026-06-08 12:00:00
ACC8111312076,David Campos,"Bishop, Fuller and Johnson Bank",UAE,HIGH,5,False,2026-06-08 12:00:00
ACC6875597607,Benjamin Meza,Evans Inc Bank,United Kingdom,HIGH,2,False,2026-06-08 12:00:00
ACC6955593943,Nicole Richards,Hodge LLC Bank,Singapore,HIGH,2,False,2026-06-08 12:00:00
ACC7431813987,Rebecca Flores,Green PLC Bank,United States,HIGH,3,False,2026-06-08 12:00:00
ACC9944748312,Patricia Martin,"Smith, Simmons and Fisher Bank",United Kingdom,HIGH,3,False,2026-06-08 12:00:00
ACC4531928910,Clifford Humphrey,"Martin, Lewis and Gray Bank",United States,HIGH,5,False,2026-06-08 12:00:00
ACC1440654676,Lisa Martin,Smith PLC Bank,UAE,HIGH,1,False,2026-06-08 12:00:00
ACC6611356986,Nicholas Goodman,Maynard-Mullins Bank,United States,HIGH,2,False,2026-06-08 12:00:00
ACC7201539282,Rebecca Allen,Morgan Inc Bank,United Kingdom,HIGH,1,False,2026-06-08 12:00:00
ACC9581991473,Meghan Jennings,Price Inc Bank,UAE,HIGH,3,False,2026-06-08 12:00:00
ACC1246351029,Kelly Kelly,Phillips and Sons Bank,United Kingdom,HIGH,3,False,2026-06-08 12:00:00
ACC3918046336,Rebecca Johnson,Greer Group Bank,India,HIGH,1,False,2026-06-08 12:00:00
ACC8650676663,Heidi Hopkins,Johnson LLC Bank,India,HIGH,1,False,2026-06-08 12:00:00
ACC8065920767,John Allen,"Thomas, Miller and Baxter Bank",UAE,HIGH,3,False,2026-06-08 12:00:00
