entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SAN00000,Daniel Hawkins,PERSON,India,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-100,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00001,Larry Meyer,PERSON,Singapore,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-101,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00002,Thomas Joseph,PERSON,United States,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,True,True,True,REG-REF-102,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00003,Vincent Brown,PERSON,Singapore,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-103,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00004,Brian Walker II,PERSON,United States,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-104,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00005,Ruth Fisher,COMPANY,Singapore,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-105,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00006,Audrey Taylor,PERSON,Singapore,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-106,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00007,Kevin Taylor,COMPANY,Singapore,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-107,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00008,James Foster,COMPANY,India,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-108,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00009,Amanda Stanley,COMPANY,UAE,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-109,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00010,Preston Hall,PERSON,United Kingdom,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-110,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00011,Brittany Hayes,COMPANY,India,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-111,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00012,Randy Cunningham,COMPANY,United States,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-112,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00013,Noah Hartman,PERSON,Singapore,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-113,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00014,Angelica Green,PERSON,India,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-114,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00015,Keith Arroyo,COMPANY,Singapore,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-115,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00016,Jamie Bryant,COMPANY,India,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-116,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00017,Sierra Smith,PERSON,Singapore,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-117,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00018,Karen Webb,PERSON,UAE,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-118,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00019,Randy Johnson,PERSON,UAE,OFAC,Narcotics Trafficking,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-119,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00020,Jeffery Lopez,PERSON,United States,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-120,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00021,Mindy Johnson,COMPANY,United Kingdom,OFAC,Cyber Crime,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-121,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
SAN00022,Carl Klein IV,COMPANY,Singapore,OFAC,Terrorism Financing,Atypical capital aggregation networks matched to high risk jurisdictions.,HIGH,False,True,True,REG-REF-122,2024-06-08,2028-06-07,ACTIVE,2026-06-08 12:00:00,2026-06-08 12:00:00
