customer_id,customer_name,email,phone_number,date_of_birth,gender,account_number,account_type,account_open_date,account_age_days,nationality,country,city,address,occupation,annual_income,kyc_status,customer_risk_rating,previous_fraud_flag,fraud_incident_count,created_at,updated_at
CUST_e72cf9d619b3,Steven Cook,brandon05@example.net,436.385.1589x8274,2003-10-23,Male,AC100000000,Current,2019-04-13,2613,Indian,India,North Hollyville,"647 West Ville Suite 823 Andrewfurt, WA 09975",Insurance account manager,1375480.9,Verified,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_a7142514c26d,Mary Kerr,patrickwest@example.org,+1-515-912-3705x82738,1951-05-22,Other,AC100000001,Savings,2023-09-30,982,Indian,India,Hansontown,"44744 Donald Heights Angelaburgh, MA 25129",Clinical research associate,3034364.06,Verified,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_fd739a599694,Michael Nelson,lsoto@example.net,(671)548-6441x7545,1991-10-25,Male,AC100000002,Savings,2024-03-17,813,Indian,India,Wrightburgh,"0892 Weber Radial Peterview, NE 47767",Site engineer,2893976.3,Pending,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_db2a9144190e,Stacey Moore,jacob96@example.org,001-608-981-4703,2001-11-20,Female,AC100000003,Savings,2017-06-23,3272,Indian,India,Campbellhaven,"220 Larry Knolls Wadeshire, MN 06724",Hydrologist,3842275.36,Verified,MEDIUM,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_4b4f8addf8ba,Cassidy Banks,levi49@example.com,001-508-346-1677x07366,1994-09-07,Male,AC100000004,Savings,2019-08-08,2496,Indian,India,Hallmouth,"207 Maynard Island Apt. 424 Williamland, DC 05600","Therapist, horticultural",4794622.75,Pending,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_645335ab5173,Chad Wells,rharrell@example.org,2594005561,1998-05-10,Male,AC100000005,Current,2020-09-16,2091,Indian,India,North Kathleen,"000 Jonathan Motorway Apt. 046 Lake Charles, VA 12198",Physiotherapist,4267972.96,Pending,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_ab1d75e2b8b7,Tiffany French,chavezdavid@example.com,569-487-2864,1967-08-21,Other,AC100000006,Savings,2019-03-21,2636,Indian,India,Kimtown,"357 Edgar Plaza Apt. 264 West Craig, ND 38121","Surveyor, insurance",4870955.67,Pending,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_55a67de56f8d,Craig Buckley,michaelrichardson@example.org,001-519-675-0254x9548,1965-12-31,Other,AC100000007,Current,2026-04-08,61,Indian,India,Kevinstad,"02677 Davis Overpass Apt. 553 East Brian, MI 62421",Analytical chemist,2971290.3,Verified,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_ce860e2e1916,Jeanette Smith,william95@example.org,423-419-7590,2003-10-23,Female,AC100000008,Savings,2016-07-20,3610,Indian,India,New Michael,"505 Teresa Ridge North Timothy, HI 24228",Dietitian,4305525.06,Verified,MEDIUM,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_3561520c7001,Keith Williams,johnny66@example.org,001-870-444-7412x588,1956-03-25,Other,AC100000009,Current,2024-08-03,674,Indian,India,North Bethany,"031 Rebecca Course Kayleefort, NM 29137",Garment/textile technologist,980739.67,Pending,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_4dfd37043ef5,Carol Vaughn,guerracynthia@example.com,699.639.7308,1988-10-03,Other,AC100000010,Savings,2021-05-03,1862,Indian,India,Jeffchester,"377 Bethany Skyway Suite 630 Millerview, VA 23329",Diplomatic Services operational officer,3123828.83,Verified,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_d2e4eb7a5ace,Kevin Wolf,jamesmartinez@example.net,4464822724,1952-06-29,Female,AC100000011,Current,2016-12-19,3458,Indian,India,Lake Stevenshire,"9246 Olsen Centers Port Tylerburgh, AK 68904",Podiatrist,4949712.08,Verified,MEDIUM,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_65becb86fb92,Casey Smith,greenjill@example.com,001-549-391-1251x36261,1986-12-12,Male,AC100000012,Savings,2021-11-02,1679,Indian,India,Griffinville,"6053 Julie Center Suite 655 Martinezchester, MH 71995","Engineer, control and instrumentation",4144652.45,Pending,MEDIUM,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_eb4e65dddb9e,Sandra Lewis,xfinley@example.net,(211)488-2506,1963-02-25,Male,AC100000013,Current,2023-03-14,1182,Indian,India,Port Jonshire,"80728 Edward Place Suite 632 Port Nicholasborough, NM 70695",Games developer,1220607.41,Pending,MEDIUM,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
CUST_b4183b7d708d,Carolyn Smith,jason91@example.com,(664)582-2910x915,1958-04-27,Other,AC100000014,Current,2020-02-18,2302,Indian,India,Masseyview,"918 Ward Locks Suite 162 Higginsland, OR 24796",Network engineer,885783.63,Verified,LOW,False,0,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
