customer_id,customer_name,email,phone_number,country,city,occupation,annual_income,previous_fraud_flag
C00001,Krisha Wagle,priya65@example.com,5850376458,India,Avadi,Accountant,1233912,0
C00002,Lohit Thakur,naveenshan@example.net,6045175225,India,Durgapur,Accountant,2607113,0
C00003,Yash Dutt,nikita89@example.org,8218568678,India,Silchar,Teacher,1470528,0
C00004,Dhruv Gandhi,hoommen@example.net,0254782926,India,Bhusawal,Accountant,4874866,0
C00005,Lekha Hayer,boranaveen@example.net,5573376697,India,New Delhi,Student,3839336,0
C00006,Vedhika Naik,vrinda83@example.org,6642202741,India,Dhanbad,Engineer,1085972,0
C00007,Ayushman Upadhyay,wkari@example.net,1622676243,India,Aurangabad,Teacher,4539227,1
C00008,Gabriel Dasgupta,sanghaoscar@example.org,1729112752,India,Ramagundam,Engineer,1967971,1
C00009,Shaurya Ray,jhaverikrishna@example.org,1489469664,India,Amaravati,Business Owner,2149189,0
C00010,Xiti Chada,ramanathandev@example.com,2554998137,India,Karimnagar,Student,2633632,0
C00011,Agastya Luthra,lilagrover@example.org,3888106902,India,Tezpur,Teacher,3845146,0
C00012,Chakradhar Bir,simonraju@example.net,5287312810,India,Bangalore,Doctor,1604256,0
C00013,Caleb Chhabra,vyanjanaborah@example.org,0581903877,India,Mira-Bhayandar,Doctor,1157401,0
C00014,Naksh Kaur,kalagaurangi@example.net,9087818669,India,Ratlam,Business Owner,1111315,0
C00015,Jatin Bawa,ovenkatesh@example.net,3971503317,India,Madhyamgram,Doctor,2518961,0
C00016,Bhavika Bassi,narayanwaida@example.org,3578026243,India,Avadi,Accountant,4153935,1
C00017,Tarak Dash,esachdev@example.com,0014193292,India,Junagadh,Engineer,3475376,0
C00018,Nisha Das,zgala@example.net,3116246755,India,Malegaon,Student,2759357,1
C00019,Bhavani Devan,radhika34@example.org,3541631719,India,Nashik,Doctor,1913033,0
C00020,Fiyaz Sharma,flall@example.net,6925723816,India,Shimoga,Engineer,2211749,0
C00021,Yashoda D’Alia,norimatthew@example.org,7642972735,India,Ranchi,Engineer,2252791,0
C00022,Zayan Mukhopadhyay,abhimanyunair@example.org,0741145641,India,Ratlam,Business Owner,2631811,0
C00023,Neel Chatterjee,chatresh94@example.net,5343172561,India,Delhi,Accountant,3360434,0
C00024,Zashil Patla,chaudryekavir@example.net,4713810891,India,Sambhal,Doctor,3280226,0
C00025,Pratyush Balay,darsh52@example.com,4582791153,India,Bhilwara,Accountant,2539572,0
C00026,Vrishti Narayan,msekhon@example.com,6010711609,India,Kolkata,Student,1735615,1
C00027,Chasmum Sandhu,aahana23@example.com,9267854280,India,Kadapa,Accountant,2353622,0
C00028,Oscar Virk,mgera@example.org,9223213924,India,Agartala,Business Owner,3483102,0
C00029,Frederick Narayanan,nbawa@example.net,3428615479,India,Noida,Accountant,4972033,0
C00030,Vihaan Shanker,pchawla@example.com,9660840832,India,Imphal,Accountant,3020280,0
C00031,Indira Din,gopal73@example.com,3179932542,India,Sambhal,Teacher,569276,0
C00032,Alexander Tata,barkha33@example.net,7675500029,India,Tadepalligudem,Business Owner,2545973,0
