customer_id,customer_name,email,phone_number,date_of_birth,gender,account_number,account_type,account_open_date,account_age_days,nationality,country,city,address,occupation,annual_income,kyc_status,customer_risk_rating,previous_fraud_flag,fraud_incident_count,created_at,updated_at
CUST10000,Daniel Hawkins,beckdiana@example.net,001-221-720-7472x4279,1964-07-15,Female,ACT10000000,Savings,2025-10-21,230,Indian,India,Jessicaport,"15206 Higgins Place Suite 509 Mcculloughview, AK 22356",Phytotherapist,1455259.03,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10001,Larry Meyer,reillylisa@example.com,+1-664-425-7318x6468,1961-12-25,Other,ACT10000001,Checking,2022-12-01,1285,Indian,India,Lake Joshua,"58488 Gabriel Burg Hendersonburgh, AL 49462","Civil engineer, contracting",3574869.04,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10002,Thomas Joseph,cclark@example.com,938.994.0377,1962-05-04,Male,ACT10000002,Savings,2024-10-06,610,Indian,India,West Barbara,"311 Sanchez Flat Hayesmouth, CO 66010",Occupational therapist,3449128.13,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10003,Vincent Brown,patricia38@example.net,984-248-2065x99107,1952-10-13,Male,ACT10000003,Savings,2024-12-28,527,Indian,India,New Lukeburgh,Unit 8404 Box 7344 DPO AE 82598,Hospital doctor,4443069.32,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10004,Brian Walker II,robert31@example.net,3144181911,2007-12-27,Female,ACT10000004,Savings,2024-10-10,606,Indian,India,North Susanmouth,"44868 Amber Mountain Gregorymouth, DC 08475","Designer, exhibition/display",1649681.62,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10005,Ruth Fisher,kimberlybrown@example.net,(982)671-0155x5398,1980-11-22,Other,ACT10000005,Checking,2023-10-30,952,Indian,India,Carlosland,"PSC 0783, Box 5455 APO AA 08988",Air broker,4405319.59,PENDING,HIGH,True,3,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10006,Audrey Taylor,robinsoncynthia@example.com,2403895226,1958-01-03,Female,ACT10000006,Checking,2023-06-30,1074,Indian,India,New Marcusmouth,"2956 Aaron Junction Apt. 282 Port Anna, KS 57236",Production engineer,4336257.17,PENDING,HIGH,True,2,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10007,Kevin Taylor,rachelmack@example.net,(279)905-1585x2973,1987-11-06,Other,ACT10000007,Savings,2025-11-12,208,Indian,India,Gentryville,"1414 Matthew Camp Suite 098 South Brittany, HI 43845",Dancer,629519.4,PENDING,HIGH,True,3,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10008,James Foster,dillonemily@example.org,001-225-712-6114x40401,1955-04-16,Male,ACT10000008,Savings,2024-09-23,623,Indian,India,South Olivia,"41767 Maurice Rapid Lake Jamesland, WV 35914","Producer, television/film/video",455565.5,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10009,Amanda Stanley,bradleyduran@example.com,984-942-3591x32725,1979-09-26,Female,ACT10000009,Checking,2024-07-23,685,Indian,India,Lake Lindsey,"1139 Jenkins Mills North Marystad, DE 38622",Best boy,1746115.25,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10010,Preston Hall,wesley75@example.org,962-507-0383,1996-06-27,Other,ACT10000010,Checking,2023-10-14,968,Indian,India,Ramirezview,"0515 Alexis Mews Suite 093 Jamesburgh, MT 71393",Data processing manager,1648035.97,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10011,Brittany Hayes,xlane@example.net,(767)567-9443x311,1999-10-15,Female,ACT10000011,Savings,2021-08-25,1748,Indian,India,Ashleytown,"220 Lisa Fork New Diana, VT 90418",Risk analyst,3110122.92,PENDING,HIGH,True,2,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10012,Randy Cunningham,hawkinstheresa@example.net,252-700-0938x13294,1971-10-16,Other,ACT10000012,Checking,2023-03-31,1165,Indian,India,Romeroside,"54592 Makayla Extension East Darrelltown, AR 70001",Materials engineer,4171667.11,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10013,Noah Hartman,raymond73@example.net,001-697-387-8743x879,1994-06-02,Female,ACT10000013,Savings,2023-07-30,1044,Indian,India,Sharonhaven,"974 Jones Ford Apt. 447 Deanmouth, FL 24587",Human resources officer,311309.93,PENDING,HIGH,True,3,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10014,Angelica Green,hhale@example.org,001-710-923-3010x7659,1988-07-04,Other,ACT10000014,Checking,2024-08-30,647,Indian,India,Benjaminborough,"27256 Christopher Bridge Apt. 798 Salazarstad, IA 20731","Research officer, political party",4047495.03,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10015,Keith Arroyo,harperwilliam@example.com,248.846.3106x093,2006-01-03,Female,ACT10000015,Savings,2024-03-11,819,Indian,India,Ronaldberg,"1133 Richard Lakes Suite 188 West Laura, MT 90884",Operational researcher,4049711.49,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10016,Jamie Bryant,johnsontyler@example.com,443.329.7011x6191,1957-11-02,Female,ACT10000016,Checking,2024-03-01,829,Indian,India,South Andrewview,"8245 Jasmine Forges Blakeville, CO 69513","Radiographer, therapeutic",4476736.32,PENDING,HIGH,True,2,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10017,Sierra Smith,april05@example.net,247.799.6668,1971-08-25,Other,ACT10000017,Checking,2023-10-16,966,Indian,India,Port Emily,"2552 Morgan Corners Apt. 856 Elizabethhaven, NV 07587","Teacher, English as a foreign language",1048486.5,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10018,Karen Webb,alexander27@example.org,001-887-355-9115x53780,1961-05-01,Male,ACT10000018,Savings,2022-02-22,1567,Indian,India,South Maureen,"52348 Obrien Knolls West Bruce, WA 61210",Toxicologist,1953356.23,PENDING,HIGH,True,2,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10019,Randy Johnson,chaserandolph@example.net,(338)625-0981x28692,1973-03-11,Male,ACT10000019,Checking,2024-08-01,676,Indian,India,Ryanberg,Unit 0439 Box 8755 DPO AA 06412,"Therapist, speech and language",2457714.38,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10020,Jeffery Lopez,reedsean@example.net,401-228-3437x558,1984-07-18,Female,ACT10000020,Checking,2026-01-21,138,Indian,India,West Jerry,"30737 Matthew Neck Suite 336 North Susan, WV 54285",Fisheries officer,3072300.19,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10021,Mindy Johnson,davidmerritt@example.com,565-592-2834x24264,1954-08-22,Female,ACT10000021,Savings,2024-07-22,686,Indian,India,Lake Dennisville,"09851 Washington Field Jessicaton, MD 57422",Herbalist,961280.94,PENDING,HIGH,True,3,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10022,Carl Klein IV,williamsmichele@example.net,(445)222-2230x358,1951-08-10,Female,ACT10000022,Savings,2023-11-30,921,Indian,India,Port Johntown,"9172 Scott Street Suite 348 East Whitney, SD 68197",Actuary,3206606.58,PENDING,HIGH,True,2,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10023,Amanda Wright PhD,dianataylor@example.org,(427)441-8099x016,1998-09-16,Other,ACT10000023,Checking,2024-11-18,567,Indian,India,Scottland,USCGC Wheeler FPO AP 48416,Volunteer coordinator,1738692.35,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10024,Lisa Schmidt,leonardkathryn@example.com,569-359-2993x399,1983-11-10,Male,ACT10000024,Checking,2024-03-16,814,Indian,India,West Barbara,"843 Saunders Knoll Joshuatown, PW 42181",Publishing copy,4216670.48,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10025,Jasmin Miller,jennarowe@example.net,(673)624-2099,1957-10-24,Female,ACT10000025,Checking,2024-11-09,576,Indian,India,Jeffreychester,"0422 Deanna Pine Smithton, GU 05871",Lexicographer,2413177.71,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10026,Jennifer Mills,charles42@example.net,398-775-3280x61145,1953-11-26,Female,ACT10000026,Checking,2022-12-26,1260,Indian,India,South Kenneth,"3319 Sierra Overpass Apt. 845 Hoodmouth, SC 20827",Nature conservation officer,2423474.33,PENDING,HIGH,True,4,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10027,Stephen Jones,flynnjeffery@example.com,001-608-676-9373,1999-10-21,Other,ACT10000027,Checking,2023-11-06,945,Indian,India,Ellischester,"16166 Stewart Walk Apt. 565 Lake Michael, NJ 87489","Production assistant, radio",472310.34,PENDING,HIGH,True,1,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10028,Gerald Sampson,ryancraig@example.org,8196833017,1966-05-01,Other,ACT10000028,Checking,2022-08-08,1400,Indian,India,Chrishaven,"817 Michelle Loaf Blevinsborough, IL 15364","Therapist, horticultural",2571575.84,PENDING,HIGH,True,3,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10029,Andrew Allen,rebecca21@example.com,624.609.2328x730,1999-03-26,Male,ACT10000029,Checking,2026-02-06,122,Indian,India,Quinnland,"5685 Elizabeth Throughway Josephshire, DE 91442",Adult nurse,1138707.06,PENDING,HIGH,True,2,2026-06-08 12:00:00,2026-06-08 12:00:00
CUST10030,Donald Douglas,faithhamilton@example.org,001-990-315-8740x7448,2001-06-08,Female,ACT10000030,Checking,2021-07-30,1774,Indian,India,New Mary,"52245 Anderson Lodge Port Roberto, WY 79841",Energy engineer,704243.74,PASSED,HIGH,True,3,2026-06-08 12:00:00,2026-06-08 12:00:00
