beneficiary_id,receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
BENE_e57b6c481d014cb18dedbd6d64bc922e,GB80RASN41863673779354,Emma Williams,"Carpenter, Smith and Smith Bank",Chile,Low,0,False,2025-10-17 22:06:24.312393
BENE_bf0bf0b5b9584626b9d4ebd7c4670952,GB46YJTD24128048957831,Alexa Chen,Vargas-Berry Bank,Tuvalu,Low,1,False,2024-10-28 22:06:24.313399
BENE_7e5f12c4e9544ef0b26869abe2a42ccc,GB58PKEZ65822806420433,Brandy Wright,Calhoun-Taylor Bank,Sierra Leone,High,0,False,2025-01-30 22:06:24.313399
BENE_35ad3bd160af4ff089649c9c89fbb078,GB43BNSR83520078687203,Thomas Salinas,Mcconnell Inc Bank,France,High,1,False,2025-08-04 22:06:24.313399
BENE_44d17f9863874171beeb48c1dcff8790,GB39KCTR22167263250325,David Ward,Washington Group Bank,Grenada,Low,0,False,2025-08-10 22:06:24.313399
BENE_d15e3a2924674d97a0539693bd187892,GB35NUZT97939828025626,Andrew Lawrence,Perez Group Bank,Equatorial Guinea,Low,0,False,2024-07-10 22:06:24.313399
BENE_6303ad6b59d84177a404073e92e1d60f,GB12KZKQ17424416586344,Christopher Johnston,"Le, Rodgers and Wright Bank",Honduras,Low,1,False,2023-11-14 22:06:24.314433
BENE_57c045b9d2824fa1bcd2c22c45402bf6,GB52JIGB14387636476439,Christopher Morrison,Rivera LLC Bank,Bahrain,Medium,0,False,2025-01-01 22:06:24.314433
BENE_d2e513ee3a9b47a9ac8d935dccf75e3f,GB77XFGV33641909370305,Diana Hart,Miller Inc Bank,North Macedonia,High,0,False,2025-12-06 22:06:24.314433
BENE_28597639d1b9456692c8cbb7a55348cc,GB82TKDM97816864720817,Dr. Annette Nichols,Taylor and Sons Bank,United States of America,Low,0,False,2025-08-16 22:06:24.314433
BENE_9937d87a906c4bccb61587def4f5b2f9,GB69PJEG28128318445694,Anna Burgess,Chan PLC Bank,Maldives,Low,0,False,2024-11-22 22:06:24.315432
BENE_e2537a4aff394110a3ed82957dce7766,GB24OWVW10714217181520,Beth Gray,"Miranda, Campbell and Cain Bank",New Caledonia,Low,0,False,2023-09-19 22:06:24.315432
BENE_f128677215c94d6191da62c267006e91,GB55EDQA35306825753365,Kayla Gibson,"Payne, Underwood and Barrett Bank",Jamaica,Low,0,False,2025-10-06 22:06:24.315432
BENE_f92a4ee12baf4151976abba955dbe2bc,GB42TACD42747999637602,Jason Horton,Carroll-Holt Bank,Bouvet Island (Bouvetoya),Medium,1,False,2025-02-05 22:06:24.316432
BENE_81514355c8804299ae62eb216b08fec9,GB36TTBR57443049156087,Bonnie Hernandez,Cook LLC Bank,Maldives,Low,1,False,2024-01-18 22:06:24.316432
BENE_ec0b09924bf84a85a6ac2ea7c04eda15,GB92YCUB45242784819285,William Baker,"Gomez, Bridges and Clayton Bank",South Africa,Medium,0,False,2024-10-15 22:06:24.316432
BENE_20e14056baca4185af4ee33526aa7516,GB75SOFZ92779954202594,David Quinn,"Bell, Owens and Martin Bank",Nicaragua,Low,1,False,2025-01-03 22:06:24.317438
BENE_d9029a3f472c43488208175c191d529f,GB12SZOK32424942096257,Garrett Hays,Kidd-Singh Bank,Palau,Low,0,False,2025-07-29 22:06:24.317438
BENE_e925aee9e3144ef7856ff91f971adff3,GB59GUUY15986667469196,Scott King,Gonzalez-Porter Bank,Belgium,Low,0,False,2025-11-25 22:06:24.317438
BENE_b4af6350a94c404eb9784f6f4a610fca,GB80MELQ42023424422991,Brandi Hicks,Martinez-Delacruz Bank,Reunion,Medium,0,False,2023-11-18 22:06:24.317438
BENE_1931f9bda84748539040f242aeccbcc5,GB81EUEE24930459818150,Taylor Oneal,"Phillips, Bender and Alvarez Bank",Luxembourg,Medium,0,False,2024-03-14 22:06:24.318434
BENE_d98c670e272a43d5bf01cafcd5451abc,GB91CRKP24872398579420,Danielle Hughes,Russell Inc Bank,Palau,Medium,0,False,2024-12-15 22:06:24.318434
BENE_832b51665acc49be9cffddb5f51b5d70,GB83BBNL38167528977789,Kenneth Garcia,"Mitchell, Davis and Brown Bank",Timor-Leste,Low,0,False,2025-12-26 22:06:24.318434
BENE_37c90828b07a46538b8c48b38470cfd0,GB33YIOU03414247993956,Ebony West,Ray Group Bank,Iceland,High,0,False,2025-05-19 22:06:24.319401
BENE_70e3bcb7f56a4b9a9fbc8479a2d594cc,GB54ISKR33909143318753,Erin Gomez,Kennedy-Martin Bank,Puerto Rico,Medium,0,False,2023-11-25 22:06:24.319401
BENE_79454143382c4241a1d65e1996e36d80,GB82XIGJ70674716956860,Jonathan Hickman,Simpson PLC Bank,Finland,High,0,False,2024-04-12 22:06:24.319401
BENE_8a5e01b39542405d9bac572b9a7cecb9,GB69IEDK67398526082300,Todd Tucker,Turner-Cruz Bank,Luxembourg,High,1,False,2025-01-05 22:06:24.319401
BENE_2f07c2f9c226463b8b1e53770dfaab0d,GB86MDJE42146651882222,Christopher Baker,Jones-Davidson Bank,Portugal,High,0,False,2024-07-07 22:06:24.320432
BENE_6f8ca62f29524175a2ab49c2c6b0765f,GB24YSUL22541709408432,Kevin Johnson,Haynes LLC Bank,Rwanda,Low,0,False,2023-11-19 22:06:24.320432
BENE_58772dedb937446d8da4bfc93ada7ebb,GB61YHCT53192106842658,Scott Garrett,Gregory Group Bank,Zambia,Medium,0,False,2023-11-02 22:06:24.320975
BENE_07afc91d12244ba5ae3d43fc804c6385,GB59RBLW30430041195695,Marvin Mendoza,"Johnson, Nguyen and Perry Bank",Netherlands Antilles,Medium,1,False,2024-05-30 22:06:24.320975
BENE_578d609003044fb1b3a47979b47d496e,GB92GVJD66720170760172,Keith Macdonald,Good-Williams Bank,Australia,Low,1,False,2024-07-17 22:06:24.321481
BENE_c3bbc4f1e01a4903bce8869a06b742b6,GB63BODH46825801941667,Michael Reed,Pitts-Gould Bank,Costa Rica,High,0,False,2025-02-02 22:06:24.321481
BENE_633c29b026e947209dc89f3f4620f58f,GB39SGQA20761561176546,Carolyn Brooks,Lang LLC Bank,Sierra Leone,Medium,0,False,2025-10-06 22:06:24.322058
BENE_341be8d745ff4a43af2c4b73f94bc214,GB50YIPA11548908815578,Timothy May,Riggs and Sons Bank,Moldova,Low,1,False,2024-01-07 22:06:24.322058
BENE_0c95a353437048b5b059c9083503e593,GB98JNLW86409405222462,Chase Johnson,"Stone, Fisher and Taylor Bank",United States Virgin Islands,High,1,False,2024-03-03 22:06:24.322058
BENE_0f8382dcd3ed49799834fccc54768505,GB95YJYU90860137428701,John Cooper,Rose PLC Bank,South Georgia and the South Sandwich Islands,Low,0,False,2024-03-12 22:06:24.322058
BENE_b83773f10082456a94bd89e1e7fc6120,GB39DSNS14084364550732,Jodi Elliott,"Lang, Boyd and Boyer Bank",Kazakhstan,High,0,False,2025-06-11 22:06:24.323101
BENE_b83ca219ad224093a020735d78193765,GB85GDEO43981004040973,Stephanie Gates,Williams Inc Bank,Kuwait,Medium,0,False,2025-12-17 22:06:24.323101
BENE_4eb73a890f984ee887df26a41666ea52,GB04MYYS01303933534120,Joseph Potter,"Reeves, King and Lindsey Bank",Eritrea,Low,0,False,2024-12-09 22:06:24.323101
BENE_24eb93f67d654170a854316961fce7d0,GB20QIFV86420095296920,Timothy Ware,Carpenter-Fuentes Bank,Bulgaria,Medium,0,False,2025-08-23 22:06:24.324099
BENE_ad7f107774d3450ea9815fbac5f3ad75,GB41DGXJ04854550257176,Julie Allen,"Rowland, Johnson and Ritter Bank",Moldova,Low,0,False,2024-10-12 22:06:24.324099
BENE_b8d241b083cf4ee5af05179267e1cbde,GB67MWSN91591404928679,Charles Turner,Rush-Brown Bank,Guyana,Low,0,False,2025-03-13 22:06:24.324099
BENE_3dc89918ab9a4628b6597fe6aa830d9f,GB31CFCR31996432788128,Donald Taylor,Bennett Ltd Bank,Djibouti,High,0,False,2025-02-12 22:06:24.324099
BENE_b298cc2a7435405398ef1e76c26f16c7,GB90JLZT20881846744985,Sara Brown,"Patel, Martinez and Mendoza Bank",Guyana,Medium,0,False,2024-11-17 22:06:24.324099
BENE_0a3898f0fb1f4b059128f3ea53748c54,GB92NQBM66632066595690,Jennifer Williams,Diaz-Martin Bank,Netherlands Antilles,Low,0,False,2025-11-26 22:06:24.325639
BENE_cb8110b089784321b600cb87744ab2d7,GB94HKLS98066969361001,Courtney Lewis,Jones-Rogers Bank,Sierra Leone,Low,0,False,2025-08-16 22:06:24.325639
