entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SANC_f2f0c77ebf8c49f4a9f2592bbf5ab372,Wagner Inc,Individual,Syria,UN,Narcotics,Current practice nation determine operation speak according.,High,True,True,True,REG-2025-189,2023-11-25,2024-12-26,Active,2026-02-14 22:06:22.669569,2026-05-28 22:06:22.669569
SANC_e396e7715a094505bc35a3034a19fa5b,Jay Ramirez,Vessel,Bermuda,OFAC,Narcotics,Whatever from behavior benefit suggest.,Critical,True,False,True,REG-2025-384,2025-02-23,2026-03-01,Active,2025-02-06 22:06:22.669569,2026-05-19 22:06:22.669569
SANC_963aaf1f1bb84d2285290ed2cb87f77b,Roman-Blair,Organization,Saint Pierre and Miquelon,EU,Narcotics,By two bad fall pick those gun.,Critical,True,True,True,REG-2024-199,2024-09-19,2026-09-06,Active,2025-04-26 22:06:22.669569,2026-05-06 22:06:22.669569
SANC_c5afd2ec108743a59f1b3139e721cab2,"Jones, Stanley and Mejia",Vessel,Benin,OFAC,Regime Sanctions,Talk term herself law.,High,False,False,True,REG-2025-296,2023-11-05,2024-12-20,Active,2025-03-28 22:06:22.670569,2026-05-10 22:06:22.670569
SANC_f29aa7a38b1848d395d9f7aa0b7dc771,Martin-Kelly,Individual,Burundi,OFAC,Regime Sanctions,Reduce raise author play move.,Critical,False,False,True,REG-2022-479,2025-03-17,2028-02-01,Active,2025-10-16 22:06:22.670569,2026-03-11 22:06:22.670569
SANC_1b2eafb0a6254c56a45588d67f72b144,Ford LLC,Vessel,Anguilla,EU,Narcotics,Detail food shoulder argue start source husband.,High,False,False,True,REG-2023-755,2023-12-16,2025-07-27,Active,2025-03-16 22:06:22.670569,2026-04-28 22:06:22.670569
SANC_33f9652665c0407b8a80195adffb5a2d,Gentry PLC,Individual,Burundi,OFAC,Cyber Crime,Defense material those poor central cause.,Critical,False,True,True,REG-2022-680,2023-07-30,2025-06-16,Active,2025-11-13 22:06:22.670569,2026-03-17 22:06:22.670569
SANC_9ff64109fb7c46358faa2a87d9581e31,Deborah Richards,Vessel,Benin,EU,Cyber Crime,Human despite young meeting before another body physical.,High,True,False,True,REG-2025-538,2025-01-07,2027-02-19,Active,2025-08-28 22:06:22.671573,2026-05-11 22:06:22.671573
SANC_f436c58224e843e7bc0ea0d2adee24a0,"Henderson, Brown and James",Individual,Jamaica,UKHM,Terrorism Financing,More wife team activity result race Mr.,High,True,True,True,REG-2022-911,2025-02-13,2027-10-16,Active,2026-01-28 22:06:22.672077,2026-04-20 22:06:22.672077
SANC_52bbefa2fda0421e97b8b8c0f56499bb,Gina Carter,Organization,Jamaica,UN,Terrorism Financing,Law west then enjoy.,High,False,False,True,REG-2021-400,2024-01-02,2026-04-10,Active,2026-02-28 22:06:22.672077,2026-03-08 22:06:22.672077
SANC_f670a28568554990860280ab0346f1e0,Romero Inc,Organization,Jamaica,EU,Terrorism Financing,Fear police participant check several much single morning.,Critical,True,True,True,REG-2023-880,2024-07-01,,Active,2025-01-27 22:06:22.672077,2026-04-02 22:06:22.672077
SANC_bb63a4a320e5424b991dc4943b145e25,"Nguyen, Smith and Hickman",Vessel,Philippines,UKHM,Terrorism Financing,Dream drive note bad rule.,High,False,False,True,REG-2022-159,2023-06-09,,Active,2025-05-15 22:06:22.672077,2026-05-29 22:06:22.672077
SANC_a4476e8c39fd4e919db5b912a7d2cbb5,Philip Cannon,Organization,Anguilla,EU,Narcotics,Process water close month.,Critical,True,False,True,REG-2025-993,2025-03-03,2026-10-05,Active,2025-05-29 22:06:22.673086,2026-03-04 22:06:22.673086
SANC_e46d113d177e426088e3c576e34d4c4a,Brandt-Hickman,Individual,Russia,UN,Regime Sanctions,Require human public health tonight.,Critical,False,False,True,REG-2021-353,2024-09-22,,Active,2025-09-09 22:06:22.673086,2026-06-06 22:06:22.673086
SANC_7b613b03ef3a46228a1cd3cae9382ca5,Wright Inc,Individual,Antarctica (the territory South of 60 deg S),EU,Terrorism Financing,Again network open according remain arrive.,High,True,True,True,REG-2021-132,2024-05-24,2025-08-04,Active,2025-06-11 22:06:22.673086,2026-05-09 22:06:22.673086
SANC_fddce9dca97d49468811bb6041eb2667,Shannon Jones,Organization,Czech Republic,EU,Regime Sanctions,Everything magazine much rich think.,High,False,False,True,REG-2022-196,2023-07-31,,Active,2025-07-24 22:06:22.673086,2026-04-24 22:06:22.673086
SANC_7eea60abc8234569a67df50299ec7e2f,Richard Aguirre,Organization,Syria,OFAC,Terrorism Financing,Behind probably great in tell.,High,False,False,True,REG-2021-354,2024-08-29,,Active,2025-05-31 22:06:22.673086,2026-04-12 22:06:22.673086
SANC_9f55edc55b494bb08267c7ff5b52fd49,Victoria Garcia,Individual,Saint Pierre and Miquelon,UKHM,Narcotics,Rock song body court movie cell.,High,False,True,True,REG-2021-767,2023-07-21,2024-08-04,Active,2026-01-13 22:06:22.673086,2026-03-04 22:06:22.673086
SANC_d622c003725a4629ac15b581982923c4,Ford-Baxter,Individual,Mayotte,UKHM,Regime Sanctions,Kitchen technology nearly anything.,High,False,True,True,REG-2022-488,2023-10-29,,Active,2025-08-14 22:06:22.674085,2026-05-06 22:06:22.674085
SANC_a98e1859667c4e1093c99f8848a2dd9b,Novak and Sons,Organization,Bosnia and Herzegovina,UKHM,Regime Sanctions,Image loss ten total.,High,True,False,True,REG-2022-159,2024-08-01,2027-02-07,Active,2026-01-29 22:06:22.674085,2026-03-05 22:06:22.674085
SANC_eb748178a9a9483ba68f1053d9eec3ff,William Baker,Individual,Antarctica (the territory South of 60 deg S),UKHM,Narcotics,Expect recent room situation product main couple.,High,True,True,True,REG-2021-709,2023-10-14,,Active,2025-11-01 22:06:22.674085,2026-04-18 22:06:22.674085
SANC_1f929476168b46c68fa6f3d721bf8694,Lauren Daniels,Vessel,Burundi,OFAC,Terrorism Financing,Arm once me system church whether.,Critical,False,False,True,REG-2022-785,2023-11-25,2025-07-26,Active,2025-10-17 22:06:22.674085,2026-04-19 22:06:22.674085
SANC_fb78a24c130e4080b8568fae3e1bfb2d,Andrea Jones,Vessel,Bosnia and Herzegovina,UKHM,Cyber Crime,Identify walk now often always.,High,True,False,True,REG-2025-676,2023-08-10,2024-10-23,Active,2025-05-30 22:06:22.675085,2026-05-12 22:06:22.675085
SANC_5ac2118d347a482aa8488d9f243c78a5,Sandoval-Cunningham,Individual,Saint Vincent and the Grenadines,OFAC,Narcotics,Various daughter respond draw how public.,Critical,False,True,True,REG-2024-953,2023-08-11,2025-06-15,Active,2025-04-22 22:06:22.675085,2026-03-17 22:06:22.675085
SANC_16b1ee1ee773439c9a38bf34c7339017,Stewart-Walton,Vessel,Antigua and Barbuda,UN,Terrorism Financing,Act perform none beyond.,High,False,True,True,REG-2021-860,2024-01-28,2025-11-01,Active,2025-10-08 22:06:22.675085,2026-03-23 22:06:22.675085
SANC_93a2925d05014357bfb32cc49c8fbcce,Derek Mahoney,Organization,Czech Republic,UN,Regime Sanctions,These hard citizen street.,Critical,True,True,True,REG-2024-949,2024-07-30,,Active,2026-02-28 22:06:22.675737,2026-04-27 22:06:22.675737
SANC_f2391d79a8a048c0baafafa7bf4fa209,Carr-Archer,Vessel,Saint Pierre and Miquelon,EU,Regime Sanctions,Account stage federal professional voice care break.,Critical,True,True,True,REG-2021-807,2024-12-06,2027-06-17,Active,2026-02-11 22:06:22.675737,2026-04-22 22:06:22.675737
SANC_76c4d280994342f3a8c1080d390f4fc0,"Tran, Nelson and Jacobs",Individual,Mayotte,EU,Terrorism Financing,Data plant enough major town suffer.,Critical,False,True,True,REG-2023-315,2023-08-31,2026-07-13,Active,2026-01-08 22:06:22.675737,2026-04-24 22:06:22.675737
SANC_4b6938bb4c774bd0ac8ad74ca14f0b3e,"Henderson, Hill and Smith",Organization,Bermuda,EU,Narcotics,Pm energy scientist necessary.,High,True,False,True,REG-2021-283,2023-08-19,2025-07-24,Active,2025-01-25 22:06:22.675737,2026-04-17 22:06:22.675737
SANC_6213c31ed1794686b221a57a981d947e,"Smith, Jones and Ware",Vessel,Burundi,UN,Narcotics,Nation strong old challenge.,High,False,True,True,REG-2024-327,2024-05-06,,Active,2025-07-09 22:06:22.676744,2026-04-25 22:06:22.676744
SANC_e43f172a38f645f9828102d6f987a740,Jacob Fitzpatrick,Individual,Burundi,OFAC,Narcotics,Together decide economic.,Critical,False,False,True,REG-2021-891,2023-09-15,,Active,2025-04-07 22:06:22.676744,2026-04-04 22:06:22.676744
SANC_9bd9aaa1bca342b58e618d5a0fac104f,Justin Baxter,Vessel,Philippines,OFAC,Terrorism Financing,See understand door class son computer include conference.,Critical,True,False,True,REG-2021-211,2023-08-27,2025-08-14,Active,2025-02-21 22:06:22.676744,2026-04-29 22:06:22.676744
