receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
ACC-5901296775,Thomas Davis,Core Bank,United States,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-4313905713,David Jackson,Apex Bank,Brazil,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-6776310924,Richard Johnson,Vertex Bank,India,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-1020051488,Linda Hernandez,Apex Bank,France,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-9048356858,Jessica Johnson,Vertex Bank,Germany,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-5751957240,William Lopez,Apex Bank,UAE,HIGH,2,FALSE,2024-01-01 00:00:00
ACC-3144788504,Robert Williams,Horizon Bank,Australia,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-1406454986,Jessica Hernandez,Horizon Bank,Singapore,HIGH,5,FALSE,2024-01-01 00:00:00
ACC-8389641213,Jennifer Johnson,Core Bank,Brazil,HIGH,5,FALSE,2024-01-01 00:00:00
ACC-5890080112,Robert Brown,Core Bank,Germany,HIGH,8,FALSE,2024-01-01 00:00:00
ACC-8781364775,Joseph Moore,Horizon Bank,Canada,HIGH,9,FALSE,2024-01-01 00:00:00
ACC-7570793813,Susan Williams,Horizon Bank,Germany,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-2044081442,Thomas Rodriguez,Apex Bank,Australia,HIGH,5,FALSE,2024-01-01 00:00:00
ACC-5024255906,Karen Martin,Core Bank,United Kingdom,HIGH,2,FALSE,2024-01-01 00:00:00
ACC-4040868900,Karen Thomas,Horizon Bank,Brazil,HIGH,4,FALSE,2024-01-01 00:00:00
ACC-5706086449,Joseph Martinez,Vertex Bank,United States,HIGH,3,FALSE,2024-01-01 00:00:00
ACC-4572175167,Richard Moore,Apex Bank,Singapore,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-7440917566,Susan Brown,Vertex Bank,Canada,HIGH,1,FALSE,2024-01-01 00:00:00
ACC-3160836204,Elizabeth Moore,Apex Bank,United States,HIGH,8,FALSE,2024-01-01 00:00:00
