entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SANC-10000,Linda Gonzalez,Organization,France,UN_SC,Narcotics Trafficking,Involvement in illicit finance networks linked to Narcotics Trafficking.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-924,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10001,Patricia Brown,Entity,France,EU_SANC,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,HIGH,FALSE,TRUE,TRUE,REG-REF-579,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10002,David Johnson,Individual,Singapore,EU_SANC,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,HIGH,FALSE,TRUE,TRUE,REG-REF-496,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10003,Jennifer Lopez,Organization,United States,OFAC,Proliferation,Involvement in illicit finance networks linked to Proliferation.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-675,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10004,David Johnson,Entity,France,UK_HMT,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,CRITICAL,TRUE,TRUE,TRUE,REG-REF-209,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10005,James Garcia,Individual,Brazil,UN_SC,Proliferation,Involvement in illicit finance networks linked to Proliferation.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-505,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10006,Linda Johnson,Individual,United Kingdom,UN_SC,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,HIGH,FALSE,TRUE,TRUE,REG-REF-957,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10007,William Jackson,Vessel,United Kingdom,UN_SC,Proliferation,Involvement in illicit finance networks linked to Proliferation.,HIGH,TRUE,TRUE,TRUE,REG-REF-519,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10008,Karen Garcia,Entity,Australia,EU_SANC,Proliferation,Involvement in illicit finance networks linked to Proliferation.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-540,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10009,Susan Anderson,Entity,France,OFAC,Terrorism Financing,Involvement in illicit finance networks linked to Terrorism Financing.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-587,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10010,Jennifer Jackson,Entity,Brazil,OFAC,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,HIGH,FALSE,TRUE,TRUE,REG-REF-335,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10011,David Brown,Vessel,Australia,UK_HMT,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-496,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10012,Patricia Taylor,Entity,Brazil,UK_HMT,Terrorism Financing,Involvement in illicit finance networks linked to Terrorism Financing.,HIGH,FALSE,TRUE,TRUE,REG-REF-971,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10013,Susan Hernandez,Entity,Germany,UK_HMT,Terrorism Financing,Involvement in illicit finance networks linked to Terrorism Financing.,HIGH,TRUE,TRUE,TRUE,REG-REF-341,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10014,Barbara Miller,Vessel,Singapore,EU_SANC,Terrorism Financing,Involvement in illicit finance networks linked to Terrorism Financing.,HIGH,TRUE,TRUE,TRUE,REG-REF-450,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10015,Charles Williams,Vessel,United States,OFAC,Proliferation,Involvement in illicit finance networks linked to Proliferation.,CRITICAL,FALSE,TRUE,TRUE,REG-REF-719,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10016,Elizabeth Johnson,Organization,UAE,UK_HMT,Narcotics Trafficking,Involvement in illicit finance networks linked to Narcotics Trafficking.,HIGH,FALSE,TRUE,TRUE,REG-REF-698,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10017,Elizabeth Lopez,Entity,United States,UN_SC,Cyber Crime,Involvement in illicit finance networks linked to Cyber Crime.,HIGH,TRUE,TRUE,TRUE,REG-REF-793,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10018,Sarah Moore,Entity,United States,EU_SANC,Terrorism Financing,Involvement in illicit finance networks linked to Terrorism Financing.,HIGH,FALSE,TRUE,TRUE,REG-REF-654,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
SANC-10019,Elizabeth Anderson,Entity,United Kingdom,OFAC,Terrorism Financing,Involvement in illicit finance networks linked to Terrorism Financing.,HIGH,TRUE,TRUE,TRUE,REG-REF-743,2023-01-15,2028-12-31,ACTIVE,2023-01-15 00:00:00,2026-01-01 00:00:00
